"","dataSet","x","y"
"79","dino",57.9487,99.4872
"80","dino",61.7949,99.1026
"81","dino",64.8718,97.5641
"82","dino",68.4615,94.1026
"83","dino",70.7692,91.0256
"84","dino",72.0513,86.4103
"85","dino",73.8462,83.3333
"86","dino",75.1282,79.1026
"87","dino",76.6667,75.2564
"88","dino",77.6923,71.4103
"89","dino",79.7436,66.7949
"90","dino",81.7949,60.2564
"91","dino",83.3333,55.2564
"92","dino",85.1282,51.4103
"93","dino",86.4103,47.5641
"94","dino",87.9487,46.0256
"95","dino",89.4872,42.5641
"96","dino",93.3333,39.8718
"97","dino",95.3846,36.7949
"98","dino",98.2051,33.718
"99","dino",56.6667,40.641
"100","dino",59.2308,38.3333
"101","dino",60.7692,33.718
"102","dino",63.0769,29.1026
"103","dino",64.1026,25.2564
"104","dino",64.359,24.1026
"105","dino",74.359,22.9487
"106","dino",71.2821,22.9487
"107","dino",67.9487,22.1795
"108","dino",65.8974,20.2564
"109","dino",63.0769,19.1026
"110","dino",61.2821,19.1026
"111","dino",58.7179,18.3333
"112","dino",55.1282,18.3333
"113","dino",52.3077,18.3333
"114","dino",49.7436,17.5641
"115","dino",47.4359,16.0256
"116","dino",44.8718,13.718
"117","dino",48.7179,14.8718
"118","dino",51.2821,14.8718
"119","dino",54.1026,14.8718
"120","dino",56.1538,14.1026
"121","dino",52.0513,12.5641
"122","dino",48.7179,11.0256
"123","dino",47.1795,9.8718
"124","dino",46.1538,6.0256
"125","dino",50.5128,9.4872
"126","dino",53.8462,10.2564
"127","dino",57.4359,10.2564
"128","dino",60,10.641
"129","dino",64.1026,10.641
"130","dino",66.9231,10.641
"131","dino",71.2821,10.641
"132","dino",74.359,10.641
"133","dino",78.2051,10.641
"134","dino",67.9487,8.718
"135","dino",68.4615,5.2564
"136","dino",68.2051,2.9487
"137","dino",37.6923,25.7692
"138","dino",39.4872,25.3846
"139","dino",91.2821,41.5385
"140","dino",50,95.7692
"141","dino",47.9487,95
"142","dino",44.1026,92.6923
"143","away",32.3311102266,61.411101248
"144","away",53.4214628807,26.1868803879
"145","away",63.92020226,30.8321939163
"146","away",70.2895057187,82.5336485877
"147","away",34.1188302357,45.7345513203
"148","away",67.6707164012,37.110947969
"149","away",53.2591294055,97.4757710964
"150","away",63.5149808671,25.1000785788
"151","away",67.9805388133,80.9571652197
"152","away",67.3724659005,29.720400203
"153","away",15.5607495229,80.0656402858
"154","away",71.7907676942,71.0654666627
"155","away",70.2425464362,24.1095975542
"156","away",64.9374355444,81.5542049945
"157","away",62.2135245453,21.4758389969
"158","away",67.2694004772,18.7089683725
"159","away",40.5701970446,79.3729634752
"160","away",74.7411813341,21.1016372041
"161","away",71.7683189223,20.0110618423
"162","away",76.1669198143,75.9361704048
"163","away",65.6236574431,15.5828033531
"164","away",50.8506336394,13.9876016304
"165","away",33.0240700249,24.4678303872
"166","away",39.7063261674,84.2752871038
"167","away",45.5964849542,9.76334884943
"168","away",42.9680469104,17.9454583961
"169","away",52.4944067819,16.0511142003
"170","away",46.0822757831,23.1104578154
"171","away",74.2477082092,20.314187812
"172","away",64.5682641863,83.6396338956
"173","away",74.0216939058,76.1282745076
"174","away",62.3911805626,5.62307076073
"175","away",74.189036683,68.1335832223
"176","away",28.2367819396,56.1395964513
"177","away",75.7719387944,69.8292300322
"178","away",75.8552294691,62.5170442862
"179","away",65.9708570175,72.7448559954
"180","away",21.7780404779,6.61662530728
"181","away",67.7597962473,72.4212015285
"182","away",78.6171953363,52.5752573142
"183","away",68.5077081898,15.4569189652
"184","away",74.8850211598,25.4166063231
"185","away",66.4549036599,19.8366286542
"186","away",77.3178020985,48.3983464352
"187","away",58.9124603193,75.6677562173
"188","away",57.617447817,8.19480060319
"189","away",76.0882257967,59.6799300235
"190","away",57.4660505497,1.50441817488
"191","away",79.4283834934,45.2107942872
"192","away",76.3565221496,10.4182411281
"193","away",64.4050752632,78.5841760758
"194","away",40.6350418091,73.3947503698
"195","away",43.9498645857,75.9587156671
"196","away",30.9962205791,71.694404938
"197","away",68.2307689907,80.8725016628
"198","away",72.0463894612,12.9180067349
"199","away",46.5927679682,84.9723827774
"200","away",49.2572183396,81.8814032306
"201","away",42.7817612539,12.9911884302
"202","away",65.475952195,14.2745856444
"203","away",71.9650826544,17.7102359443
"204","away",32.1464623358,43.4817094425
"205","away",31.8384976954,71.8121653901
"206","away",31.0052582572,40.682503007
"207","away",80.4708943189,49.5021483467
"208","away",71.9641671122,41.8742826668
"209","away",78.0794214417,93.1333167652
"210","away",41.6775957748,30.2012640846
"211","away",65.953595185,31.1474060835
"212","away",62.9344593731,31.9163906992
"213","away",64.3737979844,28.8625834061
"214","away",72.5093283599,39.5401302526
"215","away",30.0522898741,96.6175423534
"216","away",28.0033242354,46.6721919544
"217","away",75.4012268619,88.6390766207
"218","away",38.9800154218,87.322160691
"219","away",65.2199135479,84.6829549336
"220","away",73.0539899616,29.3808085571
"221","away",34.3983616372,59.5444469033
"222","away",43.4904501336,40.782542065
"223","away",55.138737967,30.7257603575
"224","away",43.6843934333,32.8230098696
"225","away",35.9036097344,91.1118630801
"226","away",45.3780188805,29.1692166544
"227","away",39.7774828713,43.75581895
"228","away",38.6644611569,33.3172384774
"229","away",39.0440366877,84.6760108316
"230","away",91.6399614428,79.4066030605
"231","away",47.4881326771,85.3899333808
"232","away",44.5902125769,22.0340116412
"233","away",39.0896145478,70.4661940802
"234","away",42.2293783752,19.9140684075
"235","away",37.0003871448,60.264279248
"236","away",39.0520864793,70.6525028457
"237","away",37.4884147432,60.8144048511
"238","away",69.3595594592,65.5213545959
"239","away",43.542775926,62.4603112824
"240","away",39.8112302539,65.3348328092
"241","away",70.0689259404,7.59346560899
"242","away",70.0405435824,77.1438066024
"243","away",39.505789079,74.8516272173
"244","away",62.5168908529,66.4847322418
"245","away",72.1399254065,0.0151193251552
"246","away",45.2515760666,70.0034213192
"247","away",42.0633045627,2.33519661206
"248","away",36.3556951539,6.0058486497
"249","away",30.3918276596,42.75961287
"250","away",36.4490038543,50.5462690659
"251","away",40.467576002,60.0275120878
"252","away",81.7246168002,6.03754484635
"253","away",48.8231974964,76.6353305783
"254","away",35.6205617651,57.2860155789
"255","away",50.5839631148,71.8066161014
"256","away",61.8564651063,71.7927431642
"257","away",39.3237560262,59.3008196656
"258","away",42.1856791429,66.0348978235
"259","away",30.8469189898,37.3416401041
"260","away",29.3462004281,42.1487418312
"261","away",82.1105579783,1.21055166293
"262","away",38.3020058088,60.0177857932
"263","away",56.5841530218,70.512514809
"264","away",33.3393742865,0.5091067352
"265","away",78.7742390407,35.4841012146
"266","away",27.9226442446,25.9868781844
"267","away",71.6978651182,10.8681445111
"268","away",74.1383313856,49.1739189791
"269","away",32.579020066,1.80811559665
"270","away",59.83218542,69.1525081443
"271","away",35.0306285457,12.5366493416
"272","away",74.3001198284,42.4770945921
"273","away",63.2501970628,65.9524861966
"274","away",34.1730737648,25.6936743092
"275","away",40.9138319319,38.5590195509
"276","away",62.8332930874,62.5108942269
"277","away",42.4767923803,56.7312899691
"278","away",52.0334562787,64.5666620298
"279","away",48.9070429644,74.2877488252
"280","away",59.8518383854,72.9583909677
"281","away",48.9604602016,72.6295257275
"282","away",46.8448551673,36.7917136918
"283","away",39.9630215796,42.9449148487
"284","away",66.704943997,32.0150954299
"711","star",58.2136082599,91.881891513
"712","star",58.1960536923,92.2149886482
"713","star",58.7182307185,90.310532087
"714","star",57.27837287,89.9076067166
"715","star",58.082020494,92.0081450101
"716","star",57.4894477748,88.0852855629
"717","star",28.088741319,63.5107944263
"718","star",28.0854682136,63.5901969481
"719","star",28.087273053,63.1232828116
"720","star",27.5780252176,62.8210386566
"721","star",27.7799191139,63.518147517
"722","star",28.5889998149,63.0240805653
"723","star",28.7391414969,62.7208638859
"724","star",27.0246032407,62.9018588649
"725","star",28.8013366963,63.389040388
"726","star",27.186463838,63.5587296478
"727","star",29.2851466002,63.3836058254
"728","star",39.4029453026,51.1508571967
"729","star",28.8113284396,61.3578540576
"730","star",34.3039579069,56.5421259093
"731","star",29.6027609801,60.157346722
"732","star",49.1161568603,63.6600006211
"733","star",39.6175458263,62.9251879574
"734","star",43.23308466,63.1652187223
"735","star",64.8927879422,65.8141767574
"736","star",62.4901493154,74.5842896072
"737","star",68.9880844294,63.232147305
"738","star",62.1056186306,75.9908707599
"739","star",32.4618467439,62.8819029189
"740","star",41.3272006535,49.0702512739
"741","star",44.0071499323,46.4496737846
"742","star",44.0740606888,34.5532038906
"743","star",44.0013152386,33.9042073544
"744","star",45.0063004454,38.2990195507
"745","star",44.4438406096,36.0190833012
"746","star",42.1787133986,26.492119482
"747","star",44.0445656189,35.6622382764
"748","star",41.6404540171,27.0930954213
"749","star",41.9383300069,24.9915229793
"750","star",44.0539275103,33.5563924949
"751","star",39.2067193308,51.5337156971
"752","star",28.7044492315,61.7775254006
"753","star",31.7086628996,58.837754374
"754","star",42.8117114739,30.0204484197
"755","star",43.300614891,31.5264261979
"756","star",40.3986329069,16.3470083822
"757","star",40.4356915763,20.2326706762
"758","star",40.9365466658,16.9130048364
"759","star",39.6615736653,15.609355577
"760","star",40.899259175,20.7985289466
"761","star",41.9686168283,26.4970725985
"762","star",40.3834058238,21.3912255247
"763","star",56.5381264538,32.4442454697
"764","star",52.9706912828,29.0401966941
"765","star",54.6209525885,30.3445244537
"766","star",65.0990443941,27.2415575588
"767","star",63.0559909076,29.7090956748
"768","star",70.9601362323,41.2595012867
"769","star",69.8958192404,43.4537592655
"770","star",70.5958928563,41.9647438672
"771","star",69.6470214273,44.044445022
"772","star",77.392982494,63.3714590552
"773","star",64.4007871926,67.4487184472
"774","star",63.8689598271,70.2137388333
"775","star",56.5944213157,86.9270062202
"776","star",56.5313372853,87.4998110713
"777","star",59.6521583697,87.8094615921
"778","star",56.6365087005,85.637495556
"779","star",58.6722880025,90.077160307
"780","star",58.2216127264,90.4110187715
"781","star",57.9146644768,89.9538027677
"782","star",55.3155090581,80.2518606944
"783","star",54.5757285877,77.5362884724
"784","star",54.4130936504,78.2290865878
"785","star",55.0745059041,79.8175464166
"786","star",29.4329605156,60.8017765444
"787","star",29.4226860665,63.0684648229
"788","star",29.0056141576,63.3907513334
"789","star",58.4618385916,90.2653263904
"790","star",57.997804739,92.1599086113
"791","star",57.5494740761,90.7489065581
"792","star",59.5299284566,88.3272741451
"793","star",58.2493910631,92.1296814778
"794","star",58.0245140126,91.6944211685
"795","star",58.3821244904,90.5534760692
"796","star",62.5667590405,77.7439347591
"797","star",72.1758243064,63.1289294176
"798","star",79.4727615693,63.4086861199
"799","star",80.3577008812,63.2954375404
"800","star",78.7572361375,53.3326200111
"801","star",82.5402395934,56.5410522935
"802","star",86.4358971909,59.7927618087
"803","star",79.4886844186,53.6516742641
"804","star",81.5304203188,56.0253645659
"805","star",79.1867885665,53.2347918468
"806","star",77.8990579454,51.8224583343
"807","star",75.1307142075,23.3724419733
"808","star",76.0580137544,16.3837496882
"809","star",57.6146743876,33.8224476502
"810","star",56.1713975295,32.1179887719
"811","star",66.2878905956,26.1171097453
"812","star",67.8817196169,24.2360184109
"813","star",64.0280813016,27.6726855125
"814","star",77.4966517463,14.9485235577
"815","star",77.6346517616,14.461853927
"816","star",77.8637264289,14.6106776491
"817","star",77.3381581659,15.890054658
"818","star",76.1804165329,15.9125737458
"819","star",77.2526510945,15.1515170246
"820","star",77.4133752817,15.2219279762
"821","star",76.7318493982,16.2168461441
"822","star",49.4711054118,25.0630193062
"823","star",42.4765399431,18.3384735636
"824","star",43.5951158622,19.9942009773
"825","star",50.3399696652,26.4713966117
"826","star",40.7489802561,16.1821416622
"827","star",38.3865255803,14.5802151464
"828","star",38.4040152085,14.4519484496
"829","star",38.7642788913,14.3655904744
"830","star",41.4701423265,17.2780334445
"831","star",47.1554048146,22.3779325323
"832","star",39.5825667453,17.6484528361
"833","star",41.7402438167,17.8293243101
"834","star",39.3118718889,15.6407169743
"835","star",41.6798476925,17.7459190133
"836","star",39.0874644519,15.1223039378
"837","star",41.4815028637,18.0474374446
"838","star",77.6060865492,15.1628725383
"839","star",75.9826615205,16.3069223786
"840","star",76.9457572424,15.858478334
"841","star",77.5437200743,15.253949149
"842","star",77.5847398447,15.8300393854
"843","star",76.8223042562,15.5951653195
"844","star",77.3485716647,15.7745292395
"845","star",77.5731526867,14.7806458332
"846","star",77.9726106776,14.9556987461
"847","star",41.5289197586,24.9164251896
"848","star",43.7225508034,19.0773278036
"849","star",79.3260781751,52.9003912897
"850","star",56.6639740815,87.9401250067
"851","star",57.8217892319,90.6931665489
"852","star",58.2431718991,92.1043278652
"1137","circle",55.9930301513,79.2772636977
"1138","circle",50.0322537946,79.013071199
"1139","circle",51.2884586593,82.4359398425
"1140","circle",51.1705368873,79.1652941091
"1141","circle",44.3779145287,78.1646280036
"1142","circle",45.0102700721,77.8808631153
"1143","circle",48.559816719,78.7883706035
"1144","circle",42.1422682922,76.8806345544
"1145","circle",41.0269715735,76.4095884613
"1146","circle",34.5753090115,72.7248411845
"1147","circle",31.1686007236,69.2454213193
"1148","circle",32.6442540714,70.7325550334
"1149","circle",26.6666456539,62.9809712052
"1150","circle",26.4592623274,62.6346733709
"1151","circle",25.5380076465,60.6302361093
"1152","circle",26.3207111933,62.3962811186
"1153","circle",26.1633874648,62.0268148985
"1154","circle",25.2137904611,60.2733986018
"1155","circle",26.8595295604,63.1418346727
"1156","circle",31.7606691716,69.7976553936
"1157","circle",39.7932905744,75.8079642168
"1158","circle",45.6174391854,78.1199702277
"1159","circle",53.7714606827,79.3029316435
"1160","circle",56.4514336733,79.2471070208
"1161","circle",66.0937201989,77.0178182606
"1162","circle",56.9258394194,79.2063186226
"1163","circle",58.9882538467,78.9172589554
"1164","circle",57.9022660533,79.0808678187
"1165","circle",64.8128669568,77.4869389235
"1166","circle",60.3497935166,78.7294458673
"1167","circle",48.890555756,16.8065435154
"1168","circle",47.549506348,17.0714045245
"1169","circle",30.8894308257,26.3290372348
"1170","circle",28.972835724,29.0504689185
"1171","circle",35.1613607523,22.7868496473
"1172","circle",45.8703691685,17.4893933655
"1173","circle",32.8314206076,24.7975381459
"1174","circle",39.4855747899,20.0330500489
"1175","circle",33.4461829314,24.1906434075
"1176","circle",21.8635812756,46.0525933457
"1177","circle",25.1658708449,35.7666139539
"1178","circle",22.9594789762,51.2877067934
"1179","circle",25.5860552415,60.8465833585
"1180","circle",26.3143100672,33.2971681038
"1181","circle",33.037301251,24.5644624921
"1182","circle",36.4688894772,21.8761144725
"1183","circle",26.5135531009,32.9187498178
"1184","circle",36.0270912125,22.1954385395
"1185","circle",42.6810404129,18.5425361977
"1186","circle",45.0410771273,17.7345177303
"1187","circle",47.3524164557,17.1347454264
"1188","circle",53.8461940322,16.3873180961
"1189","circle",55.1296393835,16.3532468711
"1190","circle",52.1881199617,16.4182174652
"1191","circle",58.6726630845,16.6633724322
"1192","circle",82.1443116037,33.1952218669
"1193","circle",75.6865711383,24.7415103908
"1194","circle",85.344964503,52.886419866
"1195","circle",83.8446535127,58.6160602305
"1196","circle",85.66476066,45.5427527692
"1197","circle",77.931004934,68.6900618808
"1198","circle",73.0318330209,73.12057473
"1199","circle",70.1028044999,75.6832068542
"1200","circle",57.1446946889,79.1941025922
"1201","circle",46.9624619942,78.6665589963
"1202","circle",50.5649338128,79.0772985529
"1203","circle",53.7196765696,79.306936167
"1204","circle",54.2002323226,79.3250023354
"1205","circle",47.875198343,78.6758534295
"1206","circle",51.4734585149,79.1598669963
"1207","circle",52.7512222162,79.2936599344
"1208","circle",48.5622230047,78.7823835275
"1209","circle",53.0812416908,79.2972507654
"1210","circle",56.475383374,79.1678400979
"1211","circle",49.570911405,79.0381238831
"1212","circle",37.6277032991,74.5575043418
"1213","circle",32.2637000863,70.3166389012
"1214","circle",32.542380336,70.7024172063
"1215","circle",52.8250171923,85.5781338795
"1216","circle",58.5282895407,78.9787042541
"1217","circle",56.265834263,79.2529394854
"1218","circle",57.0758924193,79.1939225382
"1219","circle",54.2564023808,79.3138648504
"1220","circle",62.6856712475,78.1747432719
"1221","circle",68.0856058616,76.1123175001
"1222","circle",65.1181219632,77.3991884543
"1223","circle",68.7456312971,75.7900554548
"1224","circle",63.0902251412,78.041409495
"1225","circle",77.2045893204,69.3121497658
"1226","circle",82.0339084758,62.6818697859
"1227","circle",81.5779459183,63.8949255005
"1228","circle",85.1801432805,53.7816766607
"1229","circle",84.2868249936,57.2561680896
"1230","circle",85.6224867126,45.0241658646
"1231","circle",85.6044990156,50.7623379055
"1232","circle",84.4247858276,38.761410164
"1233","circle",85.570985078,44.5600964397
"1234","circle",84.6267242006,39.4870775084
"1235","circle",73.3961549252,22.8162479426
"1236","circle",73.5074477338,22.8569887644
"1237","circle",63.3564881135,17.7240688424
"1238","circle",72.9590468722,22.5114998325
"1239","circle",64.0208416469,17.8835812521
"1240","circle",61.124463241,17.1163533592
"1241","circle",75.6742073297,24.7825009657
"1242","circle",69.5135831574,20.2793578927
"1243","circle",58.5721354669,16.642703808
"1244","circle",70.9819409865,21.1458881039
"1245","circle",65.2230303973,18.3971951223
"1246","circle",65.3150439093,18.3337482986
"1247","circle",64.0102406778,17.9244781912
"1248","circle",57.1409359294,16.5986105437
"1249","circle",56.3651532552,16.3265463742
"1250","circle",43.046183241,18.4025593948
"1251","circle",52.0817555582,16.4538745312
"1252","circle",42.8790365154,18.4894110252
"1253","circle",51.5669948027,16.4857136372
"1254","circle",58.8391251216,16.6376352154
"1255","circle",60.7557891374,17.0332315064
"1256","circle",54.7611561181,16.3661890954
"1257","circle",53.5699050003,16.3397125506
"1258","circle",48.9146182416,16.7986370826
"1259","circle",52.6461373069,16.3848363836
"1260","circle",49.8384929905,16.6763302777
"1261","circle",52.6840664009,16.4079627826
"1262","circle",65.8072190346,18.1407649473
"1263","circle",60.6739209233,17.0518023644
"1264","circle",63.394712866,17.7005351354
"1265","circle",64.8020094467,18.2168786335
"1266","circle",65.0259398087,18.2878245002
"1267","circle",65.7555515404,18.5162158303
"1268","circle",69.9677341245,20.5389887758
"1269","circle",68.8927840241,20.0324488429
"1270","circle",61.8265465579,17.2696554452
"1271","circle",60.7879700808,17.0462048583
"1272","circle",61.9156096372,17.2821912228
"1273","circle",45.0289975331,17.7244473049
"1274","circle",39.9213628084,19.7018495281
"1275","circle",84.7942778751,55.5686503735
"1276","circle",55.6629587449,83.3564796243
"1277","circle",50.4922475132,78.997532065
"1278","circle",51.4671011416,79.2018445773
