"","dataSet","observation"
"487","left",-4.19789434056
"488","left",-4.95805246961
"489","left",-5.48363500674
"490","left",-4.03530702186
"491","left",-5.11819848424
"492","left",-4.67476105538
"493","left",-5.34825307455
"494","left",-4.37831232135
"495","left",-5.58793995691
"496","left",-5.02178684442
"497","left",-4.97452318236
"498","left",-4.36555452725
"499","left",-5.12279600195
"500","left",-4.33611068013
"501","left",-5.34954235674
"502","left",-4.50626456752
"503","left",-5.0870381578
"504","left",-4.64129317169
"505","left",-5.40939711426
"506","left",-4.9069031901
"507","left",-4.90378880229
"508","left",-4.53349544429
"509","left",-4.69686548147
"510","left",-4.61263397212
"511","left",-4.88752901031
"512","left",-4.64067325251
"513","left",-4.63834289875
"514","left",-4.71307969646
"515","left",-4.65845448033
"516","left",-4.72715368283
"517","left",-4.95221100801
"518","left",-5.19009059622
"519","left",-4.12801395405
"520","left",-4.04395217228
"521","left",-4.0365132632
"522","left",-5.19334666566
"523","left",-4.42723640354
"524","left",-4.38869579748
"525","left",-4.1363141881
"526","left",-4.18138863699
"527","left",-5.20022074719
"528","left",-4.90290820475
"529","left",-4.7418013758
"530","left",-4.69083044855
"531","left",-5.85726898461
"532","left",-4.57469203952
"533","left",-4.1217550174
"534","left",-5.33203349494
"535","left",-4.0446813407
"536","left",-4.13983566072
"537","left",-4.35545901317
"538","left",-4.7076147243
"539","left",-4.1793905527
"540","left",-4.50888682805
"541","left",-4.88146858522
"542","left",-4.67032032079
"543","left",-4.56812614157
"544","left",-4.69393647727
"545","left",-4.57434503224
"546","left",-4.43640433902
"547","left",-5.24179320167
"548","left",-4.27068308371
"549","left",-4.14175009271
"550","left",-5.02718899288
"551","left",-4.58570545856
"552","left",-4.52066960119
"553","left",-4.03463559523
"554","left",-4.35576440555
"555","left",-5.50123308156
"556","left",-5.68000456659
"557","left",-4.0629149937
"558","left",-5.40069027112
"559","left",-4.8407871311
"560","left",-4.69397186737
"561","left",-4.58203640066
"562","left",-4.66093698435
"563","left",-4.24143546095
"564","left",-4.57493822755
"565","left",-4.30854538176
"566","left",-4.99892987873
"567","left",-4.40378584443
"568","left",-4.18089800127
"569","left",-4.06336478274
"570","left",-4.96134116278
"571","left",-3.70837115274
"572","left",-4.47081669026
"573","left",-4.9288847752
"574","left",-4.58603016702
"575","left",-5.27493757976
"576","left",-4.72922361542
"577","left",-3.96792636311
"578","left",-4.44145157873
"579","left",-4.87187446469
"580","left",-3.72803176985
"581","left",-3.77742573973
"582","left",-4.34834460811
"583","left",-4.33863119358
"584","left",-4.48633786323
"585","left",-4.13142859594
"586","left",-4.80843448086
"587","left",-3.8696236873
"588","left",-5.01194959683
"589","left",-4.07259863943
"590","left",-4.81658124175
"591","left",-4.72035124181
"592","left",-4.58722471157
"593","left",-4.13254227718
"594","left",-4.46904993763
"595","left",-4.90810937194
"596","left",-3.85182733761
"597","left",-4.80869838176
"598","left",-4.11911357233
"599","left",-3.61335158713
"600","left",-4.07191273882
"601","left",-4.75760186669
"602","left",-4.30293935296
"603","left",-4.407177989
"604","left",-4.58594262045
"605","left",-4.32574786608
"606","left",-4.45554182839
"607","left",-4.17440093938
"608","left",-4.94834007812
"609","left",-2.68260032012
"610","left",-4.46909542189
"611","left",-2.68228581964
"612","left",-4.57345475755
"613","left",-4.36510930057
"614","left",-4.80781914336
"615","left",-2.68673517961
"616","left",-3.85362992305
"617","left",-4.47218463115
"618","left",-2.68516768843
"619","left",-4.08341172051
"620","left",-2.6848570563
"621","left",-4.42658326293
"622","left",-2.687533055
"623","left",-2.6699969859
"624","left",-4.27249631495
"625","left",-2.68953314584
"626","left",-2.67341690884
"627","left",-2.68178008042
"628","left",-2.68260693002
"629","left",-2.68251588615
"630","left",-2.67045964904
"631","left",-2.6888488671
"632","left",-2.66924921582
"633","left",-2.68450009126
"634","left",-4.09497987492
"635","left",-2.68271503969
"636","left",-2.65340289529
"637","left",-2.68854480995
"638","left",-2.6817555731
"639","left",-2.66867802963
"640","left",-2.66130418922
"641","left",-2.68962764066
"642","left",-4.8667858241
"643","left",-2.6802240862
"644","left",-2.69074835329
"645","left",-2.68022784503
"646","left",-2.66485500133
"647","left",-2.68016545716
"648","left",-2.68654994005
"649","left",-2.67043904981
"650","left",-2.68429848091
"651","left",-2.68376031017
"652","left",-2.67726844652
"653","left",-4.27684123417
"654","left",-2.66452983949
"655","left",-2.68879093232
"656","left",-2.6738916601
"657","left",-2.68743382864
"658","left",-2.68613591724
"659","left",-2.68783959777
"660","left",-2.68334710141
"661","left",-2.67781378594
"662","left",-2.68907270845
"663","left",-2.68802034924
"664","left",-2.68529346202
"665","left",-2.6791440561
"666","left",-2.67826384668
"667","left",-2.66682994949
"668","left",-2.68861503237
"669","left",-2.67097703771
"670","left",-2.67323912972
"671","left",-2.6605590236
"672","left",-2.6743056342
"673","left",-2.68583566476
"674","left",-2.66639469071
"675","left",-2.67882839779
"676","left",-2.68905940906
"677","left",-2.67443984725
"678","left",-2.67853104873
"679","left",-2.67820066433
"680","left",-2.68911513098
"681","left",-2.68052388082
"682","left",-2.68745945614
"683","left",-2.67822993696
"684","left",-2.68038570985
"685","left",-2.67528193687
"686","left",-2.67998812863
"687","left",-2.68602407426
"688","left",-2.67488466808
"689","left",-2.68705966514
"690","left",-2.68447354539
"691","left",-2.68363598686
"692","left",-2.67971788454
"693","left",-2.68707791176
"694","left",-2.68454501084
"695","left",-2.68828208452
"696","left",-2.68345910322
"697","left",-2.68724063601
"698","left",-2.68752001386
"699","left",-2.68834638164
"700","left",-2.68567445217
"701","left",-2.68803888215
"702","left",-2.68122110946
"703","left",-2.67390748569
"704","left",-2.68959708008
"705","left",-2.67435915236
"706","left",-2.68453564471
"707","left",-2.6773379747
"708","left",-2.68854269152
"709","left",-2.6711370589
"710","left",-2.6315661101
"711","left",-2.68669257779
"712","left",-2.68918838132
"713","left",-2.6797920723
"714","left",-2.64062027813
"715","left",-2.66242292634
"716","left",-2.68690450873
"717","left",-2.68209275786
"718","left",-2.67679143135
"719","left",-2.6783705469
"720","left",-2.68824320045
"721","left",-2.68545805155
"722","left",-2.6828111655
"723","left",-2.65046446574
"724","left",-2.68829338184
"725","left",-2.68896822088
"726","left",-2.67578575268
"727","left",-2.67963289403
"728","left",-2.67315178008
"729","left",-2.68596067947
"730","left",-2.68606946668
"731","left",-2.6817288268
"732","left",-2.68516592893
"733","left",-2.67436996415
"734","left",-2.67595283566
"735","left",-2.67703386887
"736","left",-2.65535498793
"737","left",-2.68321019609
"738","left",-2.68884171702
"739","left",-2.68553028741
"740","left",-2.6852066491
"741","left",-2.68550736122
"742","left",-2.68901881812
"743","left",-2.68963875879
"744","left",-2.66644958914
"745","left",-2.68973784112
"746","left",-2.68917771962
"747","left",-2.66638504385
"748","left",-2.66573135309
"749","left",-2.68498611415
"750","left",-2.68069857742
"751","left",-2.65190007466
"752","left",-2.67641773519
"753","left",-2.6625696252
"754","left",-2.67758815852
"755","left",-2.67792670693
"756","left",-2.68915977779
"757","left",-2.67693854015
"758","left",-2.67773572632
"759","left",-2.68589022986
"760","left",-2.6637879293
"761","left",-2.6776042259
"762","left",-2.67459471152
"763","left",-2.67416038577
"764","left",-2.67531412659
"765","left",-2.67665966294
"766","left",-2.67102887449
"767","left",-2.66423993057
"768","left",-2.62339613104
"769","left",-2.65479113651
"770","left",-2.66586511396
"771","left",-2.68807066915
"772","left",-2.68347683809
"773","left",-2.68247884887
"774","left",-2.66648737506
"775","left",-2.62870779178
"776","left",-2.6719408857
"777","left",-2.67669765201
"778","left",-2.65844299142
"779","left",-2.6830762125
"780","left",-2.67784432803
"781","left",-2.67869616812
"782","left",-2.65956077611
"783","left",-2.67716983154
"784","left",-2.66354009692
"785","left",-2.68599644495
"786","left",-2.68190565859
"787","left",-2.68475002325
"788","left",-2.62430395651
"789","left",-2.62657097435
"790","left",-2.68131160849
"791","left",-2.65984824211
"792","left",-2.68010680622
"793","left",-2.68414852029
"794","left",-2.6890060127
"795","left",-2.65541099823
"796","left",-2.50814825309
"797","left",-2.67443708425
"798","left",-2.68563309736
"799","left",-2.68910662912
"800","left",-2.62251453763
"801","left",-2.68439362791
"802","left",-2.66972660719
"803","left",-2.68549762934
"804","left",-2.68964146796
"805","left",-2.6412207563
"806","left",-2.67140576485
"807","left",-2.67920507507
"808","left",-2.68817461006
"809","left",-2.68857448808
"810","left",-2.68962504047
"811","left",-2.67051772653
"812","left",-2.66005752411
"813","left",-2.68362166832
"814","left",-2.68017571387
"815","left",-2.68366532307
"816","left",-2.68352425758
"817","left",-2.65988249472
"818","left",-2.68434816534
"819","left",-2.68480662847
"820","left",-2.68098446978
"821","left",-2.68893320704
"822","left",-2.64307275993
"823","left",-2.67555154895
"824","left",-2.66759374053
"825","left",-2.68795106526
"826","left",-2.65857553684
"827","left",-2.68732294698
"828","left",-2.68539749095
"829","left",-2.54627577055
"830","left",-2.68715274662
"831","left",-2.68126012251
"832","left",-2.68497351956
"833","left",-2.68869129201
"834","left",-2.68421836583
"835","left",-2.66444852013
"836","left",-2.6836278064
"837","left",-2.56895892914
"838","left",-2.66256189105
"839","left",-2.66137754827
"840","left",-2.68172612934
"841","left",-2.65182177533
"842","left",-2.68450378666
"843","left",-2.51633736099
"844","left",-2.64936725653
"845","left",-2.68571663912
"846","left",-2.65325850129
"847","left",-2.65475332769
"848","left",-2.68431146117
"849","left",-2.6869432016
"850","left",-2.67558121842
"851","left",-2.64749503615
"852","left",-2.64979716074
"853","left",-2.68504248245
"854","left",-2.43463925292
"855","left",-2.61881420713
"856","left",-2.56780059944
"857","left",-2.62696803169
"858","left",-2.61983442784
"859","left",-2.67753042002
"860","left",-2.68354013034
"861","left",-2.68909699884
"862","left",-2.66669357458
"863","left",-2.68302284116
"864","left",-2.49242581227
"865","left",-2.62459010176
"866","left",-2.670141401
"867","left",-2.55866877541
"868","left",-2.67902525458
"869","left",-2.43068071231
"870","left",-2.66589779869
"871","left",-2.66667803344
"872","left",-2.39067553319
"873","left",-2.6788946451
"874","left",-2.64694389256
"875","left",-2.60048661878
"876","left",-2.65590198602
"877","left",-2.53708264939
"878","left",-2.62512683473
"879","left",-2.67578451993
"880","left",-2.66877578509
"881","left",-2.68680739393
"882","left",-2.68209691502
"883","left",-2.60671408651
"884","left",-2.67999898415
"885","left",-2.63512053164
"886","left",-2.63390866251
"887","left",-2.65240808773
"888","left",-2.18605956344
"889","left",-2.67521020143
"890","left",-2.62608602182
"891","left",-2.62947862475
"892","left",-2.65771856077
"893","left",-2.6509769595
"894","left",-2.35316521537
"895","left",-2.68776244375
"896","left",-2.53135388415
"897","left",-2.67364283104
"898","left",-2.64423491164
"899","left",-2.6647699332
"900","left",-2.68357884459
"901","left",-2.61921645776
"902","left",-2.68299811144
"903","left",-2.30076095019
"904","left",-2.52414348453
"905","left",-2.63306581045
"906","left",-2.68164633892
"907","left",-2.67233110497
"908","left",-2.68405060791
"909","left",-2.43812619208
"910","left",-2.23103170641
"911","left",-2.64113248198
"912","left",-2.43580406766
"913","left",-2.68622068383
"914","left",-1.94911783003
"915","left",-2.68854082616
"916","left",-2.37833018814
"917","left",-2.67489545061
"918","left",-1.99389451857
"919","left",-2.68865898099
"920","left",-2.65022940858
"921","left",-2.60438034468
"922","left",-2.60188118526
"923","left",-2.62858324154
"924","left",-2.65378473035
"925","left",-2.6353837714
"926","left",-2.68103515285
"927","left",-2.59473267262
"928","left",-2.68669338221
"929","left",-2.68377746845
"930","left",-2.08663888392
"931","left",-2.64153317938
"932","left",-2.67875102274
"933","left",-2.68956681014
"934","left",-2.50698281541
"935","left",-2.68032394976
"936","left",-2.68727673563
"937","left",-2.68382825694
"938","left",-2.68964131933
"939","left",-2.63684084539
"940","left",-2.66997725413
"941","left",-2.68964931567
"942","left",-1.84151542509
"943","left",-2.6481889664
"944","left",-2.22862134601
"945","left",-2.51303121828
"946","left",-2.04483818681
"947","left",-2.26088277455
"948","left",-2.65744793089
"949","left",-2.65220846787
"950","left",-2.33166159376
"951","left",-2.32872218988
"952","left",-2.67739929054
"953","left",-2.29542587763
"954","left",-2.58907350507
"955","left",-2.68769297581
"956","left",-2.4258080856
"957","left",-2.53131059738
"958","left",-2.68033161296
"959","left",-2.54428280113
"960","left",-2.44532484143
"961","left",-2.68779211853
"962","left",-2.42789224794
"963","left",-2.2582474383
"964","left",-1.53123898513
"965","left",-1.83695812599
"966","left",-2.68959909025
"967","left",-2.52824319351
"968","left",-2.6861614677
"969","left",-2.31901215515
"970","left",-2.11988478213
"971","left",-2.68272871351
"972","left",-2.30900656411
"973","left",-2.29136842442
"974","left",-1.70667651101
"975","left",-2.62851989376
"976","left",-2.53268785649
"977","left",-2.47569484715
"978","left",-2.30270607143
"979","left",-2.24944663652
"980","left",-2.68368689525
"981","left",-2.67968131474
"982","left",-2.27008222174
"983","left",-2.6507241349
"984","left",-2.3009860183
"985","left",-2.06886607965
"986","left",-2.66512180934
"987","left",-2.64426140992
"988","left",-2.56849325726
"989","left",-2.64584557309
"990","left",-2.29197991697
"991","left",-2.66344812405
"992","left",-2.5782530409
"993","left",-2.67401400412
"994","left",-2.67623603275
"995","left",-2.18179203951
"996","left",-2.26246918841
"997","left",-2.04095453505
"998","left",-2.059527542
"999","left",-2.5835408423
"1000","left",-1.98224230575
"1001","left",-2.62699806964
"1002","left",-2.42836045704
"1003","left",-2.56116120168
"1004","left",-2.20969446485
"1005","left",-2.35805572694
"1006","left",-2.68550530245
"1007","left",-2.68401695744
"1008","left",-2.26541719477
"1009","left",-2.6761689573
"1010","left",-2.47374535422
"1011","left",-2.30203976199
"1012","left",-1.95280267852
"1013","left",-2.64371179051
"1014","left",-2.4633409196
"1015","left",-1.84735253135
"1016","left",-2.66945964243
"1017","left",-2.42185793473
"1018","left",-1.89151629286
"1019","left",-2.51035134834
"1020","left",-2.42531207942
"1021","left",-1.81867041946
"1022","left",-1.81486759217
"1023","left",-2.25883610441
"1024","left",-2.62232436224
"1025","left",-2.66741357967
"1026","left",-2.22504145398
"1027","left",-2.19030486779
"1028","left",-2.57220515914
"1029","left",-2.63996408105
"1030","left",-2.04295578239
"1031","left",-2.13072688022
"1032","left",-2.68506687495
"1033","left",-1.99675713246
"1034","left",-1.99787236307
"1035","left",-2.363965142
"1036","left",-2.25165602439
"1037","left",-2.66111853648
"1038","left",-2.61227001295
"1039","left",-2.64411185851
"1040","left",-1.99568704494
"1041","left",-2.65583603436
"1042","left",-2.28020484615
"1043","left",-1.85638882835
"1044","left",-1.98726393472
"1045","left",-2.1932093276
"1046","left",-1.78573095561
"1047","left",-2.62395394408
"1048","left",-1.79493581074
"1049","left",-2.13443714731
"1050","left",-2.15620189221
"1051","left",-1.98000183613
"1052","left",-2.5969733703
"1053","left",-2.64797419418
"1054","left",-2.0801036072
"1055","left",-2.43988432701
"1056","left",-2.23351157466
"1057","left",-1.7220384403
"1058","left",-1.7185737231
"1059","left",-1.95238068355
"1060","left",-2.60610495216
"1061","left",-2.06469663472
"1062","left",-1.24478845962
"1063","left",-2.63141921323
"1064","left",-2.28672536324
"1065","left",-1.23268717617
"1066","left",-2.21995345226
"1067","left",-1.78137071202
"1068","left",-1.85443074118
"1069","left",-2.16664946621
"1070","left",-2.54757415467
